2026-07-20 21:58:26 | admin | SUCCESS
2026-07-20 22:00:30 | subahan | FAILED
2026-07-20 22:19:54 | admin | FAILED
2026-07-20 22:33:00 | admin | SUCCESS
2026-07-21 09:00:21 | admin | SUCCESS
2026-07-21 09:31:33 | admin | FAILED
2026-07-21 09:32:14 | admin | SUCCESS
2026-07-21 09:34:05 | admin | SUCCESS
2026-07-21 09:34:51 | ' OR 1=1 -- | ATTACK BLOCKED
2026-07-21 09:53:39 | admin | SUCCESS
2026-07-21 10:11:16 | admin | SUCCESS
2026-07-21 10:31:36 | admin | SUCCESS
2026-07-21 10:32:23 |  ' or 1=1-- | ATTACK BLOCKED
2026-07-21 10:39:56 | admin | SUCCESS
2026-07-21 10:43:14 | admin | SUCCESS
2026-07-21 10:48:28 | admin | SUCCESS
